country,unit,measure,source,year,value
Italy,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,21.9
Latvia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,14.9
Lithuania,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,18.5
Luxembourg,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,19.1
Malta,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,24.0
Netherlands,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,9.1
Norway,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,15.3
Poland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,23.6
Portugal,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,18.8
Romania,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,27.6
Slovakia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,20.8
Slovenia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,12.4
Spain,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,23.2
Sweden,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,11.2
EU/EEA,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,19.3
EU,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,19.4
Austria,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,11.3
Belgium,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,20.6
Bulgaria,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,26.3
Croatia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,21.2
Cyprus,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,
Czechia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,18.1
Denmark,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,16.2
Estonia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,12.7
Finland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,12.9
France,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,24.1
Germany,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,13.3
Greece,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,28.5
Hungary,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,14.2
Iceland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,18.5
Ireland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,22.4
Italy,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,23.1
Latvia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,14.9
Lithuania,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,18.7
Luxembourg,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,20.2
Malta,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,22.9
Netherlands,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,9.6
Norway,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,15.5
Poland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,23.2
Portugal,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,19.7
Romania,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,27.4
Slovakia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,20.1
Slovenia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,13.4
Spain,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,24.1
Sweden,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,
EU/EEA,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,19.9
EU,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2023,20.0
